run,strategy,temperature,json_success_rate,fk_grade_std,semantic_similarity_sbert,human_benchmark_score,overall_score
run2,zero_shot,0.2,1.0,1.2481237905929126,0.9160093714793524,0.8311019536641666,0.7979816720379346
run2,zero_shot,0.0,1.0,1.140037128220838,0.9128037293752036,0.807897579907891,0.7969957304358554
run2,few_shot,0.5,1.0,1.2584824249312367,0.9171246637900672,0.8096814879724246,0.7923953371219965
run2,zero_shot,0.5,1.0,1.4016486698268082,0.9053500245014826,0.8179625199429985,0.7849232950495958
run2,few_shot,0.2,1.0,1.4271039008198538,0.9135298877954484,0.8100605333749349,0.7839010242708901
run2,chain_of_thought,0.2,1.0,1.5398066398246135,0.9187350223461788,0.8137863760464804,0.7815630397407749
run2,chain_of_thought,0.5,1.0,1.501806175969208,0.9256023118893304,0.7951543373543912,0.7801169674308251
run2,chain_of_thought,0.0,1.0,1.4149523298172906,0.9204886555671692,0.7635484860155687,0.774530997569156
run2,few_shot,0.0,1.0,1.6154885652323143,0.9120073368151984,0.7711905869980193,0.7663839171933438
run3,chain_of_thought,0.5,0.8333333333333334,1.516773578851363,0.8022452952961127,0.8297560785686741,0.7156672052904395
run3,few_shot,0.5,0.8333333333333334,1.490208585138609,0.7879513613879681,0.8357142718511338,0.7146429382178787
run3,chain_of_thought,0.2,0.8333333333333334,1.557453627566558,0.7988076967497667,0.8163719221920478,0.7098817211838953
run3,chain_of_thought,0.0,0.8333333333333334,1.7666056764194773,0.8034507793684801,0.8105810368687151,0.7022047252077198
run3,zero_shot,0.5,0.75,1.2999575103611,0.7210086081176996,0.7601345958894343,0.6664834612297541
run3,zero_shot,0.0,0.75,1.427349417914714,0.7169254465649525,0.7820548637161888,0.6652380781473386
run3,zero_shot,0.2,0.75,1.3522610764637215,0.7143922690302134,0.755527346278653,0.6612606234724347
run3,few_shot,0.0,0.75,1.4296350542162406,0.717222555850943,0.7410505165169952,0.6549643798212605
run3,few_shot,0.2,0.75,1.6598787951361444,0.7201138480256001,0.7457537376888348,0.6479561415239681
run4,few_shot,0.0,1.0,1.3471317579300517,0.9193374713261924,0.8198856393816447,0.7913187585334223
run4,zero_shot,0.0,1.0,1.2523332170327506,0.911730761329333,0.793523992304571,0.7873096982836724
run4,chain_of_thought,0.5,1.0,1.4690134994608826,0.9193982581297556,0.8201527935130727,0.7861427783468674
run4,chain_of_thought,0.2,1.0,1.2977654317678022,0.9189506322145462,0.7902550531696071,0.7861027796324935
run4,zero_shot,0.5,1.0,1.4806202906264472,0.9182209918896356,0.8166304273357419,0.7844940992977638
run4,few_shot,0.5,1.0,1.4567441885151955,0.9116126795609792,0.8121006606333933,0.7826890316521311
run4,few_shot,0.2,1.0,1.4704335474842751,0.9137626886367798,0.8063854201438375,0.7812338394933775
run4,chain_of_thought,0.0,1.0,1.3103021970742217,0.9254821836948396,0.7644533874401216,0.7806948447174749
run4,zero_shot,0.2,1.0,1.42993725032583,0.9119982719421388,0.7704016786015869,0.7734833028188555
