story_key,comparison_type,variant,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,tier2_types_retained,tier2_types_removed,tier2_types_added,low_frequency_tier2_types_retained
anita,human_reference,human::elementary,0.7540255188941956,0.5026581260855278,-7.199999999999989,9.172724730882123,10.706168831168782,-2.340560086853074,-25.183789954337897,-0.05215898280702568,african; asian; bridge; census; change; class; cultural; discussion; image; important; inequality; link; natural; need; population,ancestry; apparent; attitude; complex; contrast; cycle; define; defined; demographic; discrimination; diversity; equality; explicit; goal; however; largely; latent; lecturer; likely; mainstream; minority; periphery; predominantly; prejudice; profoundly; project; publication; racial; relatively; result; social; society; sound; statistics; successful; suggestive; support; university,difference,asian; bridge; census; class; cultural; discussion; important; inequality; link; natural
copyright,human_reference,human::elementary,0.976621150970459,0.6606175550590093,-33.911764705882376,5.0331610942249085,2.1795463805513577,-2.287435221783049,-14.111369843868118,-0.0320660252994138,achieve; article; author; creative; creatively; dialogue; existing; group; index; influence; level; mp; need; poverty; society; subject; technology,acquired; analogue; approach; collected; content; critical; data; default; distribute; emerge; established; form; highly; independent; intellectual; principle; robust; scale; science; technical,change; discuss; organization; strongly; support,achieve; author; creatively; dialogue; existing; group; influence; level; poverty; society; subject; technology
crowdfunding,human_reference,human::elementary,0.8555333018302917,1.0369298059747587,-62.36703741152684,2.604089856812095,1.3559890994673651,-2.5814081912537326,-1.5161875115926335,-0.011122312920745385,activity; alternative; change; example; experience; finding; ground; international; project; successful; test; use; within,access; card; commercially; complex; conventional; efficient; expansion; focused; generate; growth; innovative; invention; known; limited; production; rejected; testing; transaction; validate; vital; weight; whole,european; group; important; increased; present; produce,activity; alternative; change; experience; finding; ground; international; successful
everest,human_reference,human::elementary,0.8071264028549194,-0.09881831435484015,-10.30735930735932,-5.95479808639368,-7.107513332942631,-1.6830695912274862,-29.836489951864593,-0.014395640112776553,agriculture; base; both; change; changing; climate; combination; completed; continued; erosion; fixed; human; need; planning; previous; provide; region; waste,address; challenge; class; condition; degradation; demand; environmental; exponential; finding; flow; following; further; harvesting; identify; impact; include; increased; infrastructure; language; level; modern; network; numerous; potential; rapid; sector; sequence; western,effect; future; group; increase; study; trained; use,agriculture; both; changing; combination; completed; continued; erosion; need; planning; previous; provide
loterry,human_reference,human::elementary,0.928984522819519,0.8576303313654415,-16.756034482758594,14.564556962025279,15.91535433070868,-1.37989379528263,-9.75630888119106,-0.023143523143523137,economics; employ; employed; existing; likely; proportion; range; study; supported; table; total; voluntary,analysis; anticipated; author; domestic; effect; further; generating; however; measurable; need; product; purchased; report; research; transform; use,given; important; preferred; working,economics; employ; existing; likely; proportion; range; supported; table; voluntary
wnl 101 year old bottle message,human_reference,human::elementary,0.9543273448944092,0.41410024397868267,-19.528919860627184,3.3569974554707187,2.4689069078434613,-1.9622861081071648,-0.9390920930445219,-0.026710912849526713,address; card; condition; culture; display; document; known; received; researcher,appreciation; attempt; author; available; given; group; incur; international; nature; note; science,,condition; culture; display; document; known; received; researcher
wnl billionaires,human_reference,human::elementary,0.9279595613479614,0.19564175158947594,-24.947250086475265,-6.583052039381187,-3.2256302521008706,-3.325654126971731,-48.71928696509168,-0.020862470862470867,above; address; following; mosaic; nature,calculated; century; culture; evidence; example; extent; however; marked; minority; nevertheless; previous; prohibitive; repeated; reveal; valuable; wealth; working,control,above; address; following; mosaic; nature
wnl experience,human_reference,human::elementary,0.9342689514160156,0.7267106160362822,-17.449292452830207,12.311427009294675,11.09964540829435,-1.5134758379442097,-20.694212680420193,-0.007803374432186892,display; experience; group; internal; need; relationship; stress; territorial; territory; within,empathy; evidence; limited; practice; specialized; traumatic; vertically,,display; experience; group; need; relationship; stress; territorial; territory; within
wnl ten ideas,human_reference,human::elementary,0.9135313034057617,0.17752894791388363,8.801026957638044,6.898844560715077,8.941196817710136,-2.409118286358595,-92.05908580675123,-0.042751070918610176,above; experiment; ground; project; similar; solution; sustainable; system; technology,act; change; climate; concept; conventional; convert; cycle; disperse; facility; harvesting; increasingly; industrial; innovation; international; movement; provide; scale; type; urban,group; need,experiment; project; similar; solution; sustainable
wnl why we should,human_reference,human::elementary,0.889441967010498,0.4494591045073637,-13.537373737373741,6.717675635276578,5.626206024857822,-4.423147617719515,-58.43841941125079,-0.026791898706120296,effect; environment; environmental; human; importance; improve; need; period; process; produce; reduce; reduced; use; valuable; vital; whole,adjustment; argue; challenge; equilibrium; examine; frequent; functioning; however; initial; intensity; known; likely; natural; necessary; production; reduction; relatively; short; suggest; tend; typically,change; example; experiment; working,environment; environmental; human; importance; improve; need; period; process; produce; reduced; valuable
wnl are you a bad boyfriend,human_reference,human::elementary,0.869896650314331,0.5560194317398791,-19.444852941176464,4.217391304347814,8.602733195614178,-1.2176630434782574,-40.88679843232242,-0.005126085159156676,present; relationship; testing; typical,available; capitalist; couple; design; external; generating; result; sharing; social; valuable,connected; etc; university,present; testing; typical
wnl shark,human_reference,human::elementary,0.9424149990081787,-0.3567704978969489,-13.150693568726354,-17.14950873837057,-11.676580149002632,-2.4749475350301395,-31.794388016250906,-0.013693219223173153,achieve; activity; changing; counterproductive; difference; encourage; evidence; exist; human; increase; increasing; ineffective; population; reduce; related; result; society; state; university; western; whole,approach; argue; consistent; globally; however; indiscriminate; nature; policy; positive; potential; potentially; previous; provide; scheme; solely,chosen; increased; method; monitor; use; working,achieve; activity; counterproductive; difference; encourage; exist; increase; increasing; reduce; related; society; university; whole
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.911767840385437,0.6783074554978934,-24.72332912988651,8.75376490699665,6.537525879917155,-2.4594287966163506,-8.518880800727942,-0.026802085907122505,african; ancestry; asian; bridge; census; change; class; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; link; minority; need; periphery; population; prejudice; racial; society; sound; statistics; successful; suggestive; support; university,apparent; attitude; complex; contrast; cultural; cycle; define; demographic; discussion; diversity; goal; however; important; largely; latent; mainstream; natural; predominantly; profoundly; project; publication; relatively; result; social,difference; equal; known; low; present; quality; reduced; shared,ancestry; asian; bridge; census; defined; equality; explicit; lecturer; link; minority; periphery; prejudice; statistics; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9026922583580017,0.7059130157969428,-30.089920424403203,6.726314215209754,5.690366637452485,-1.9994743903659824,-22.56663691293602,-0.03048134011874469,african; ancestry; asian; attitude; bridge; census; change; class; define; discrimination; equality; explicit; image; inequality; lecturer; likely; link; minority; natural; need; population; racial; sound; statistics; successful; suggestive; university,apparent; complex; contrast; cultural; cycle; defined; demographic; discussion; diversity; goal; however; important; largely; latent; mainstream; periphery; predominantly; prejudice; profoundly; project; publication; relatively; result; social; society; support,common; difference; known; linked; low; present; shared; widely,ancestry; asian; attitude; bridge; census; equality; explicit; inequality; lecturer; link; minority; natural; statistics; successful; suggestive
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9143226742744446,0.5957856427327285,-26.559394703657006,5.622048082451386,3.987912649722432,-1.9954525599713548,3.2634511629390204,-0.021253790651469207,african; ancestry; asian; attitude; bridge; census; change; class; cycle; define; discrimination; equality; explicit; image; inequality; lecturer; likely; minority; natural; need; population; prejudice; racial; society; sound; statistics; successful; suggestive; university,apparent; complex; contrast; cultural; defined; demographic; discussion; diversity; goal; however; important; largely; latent; link; mainstream; periphery; predominantly; profoundly; project; publication; relatively; result; social; support,difference; harmful; known; level; linked; mainly; present; reduced; shared; strongly; value; widely,ancestry; asian; attitude; bridge; census; cycle; define; equality; explicit; inequality; lecturer; minority; natural; prejudice; statistics; successful; suggestive
